case_id,preference_id,target_route_id,selected_route_id,match,parse_ok,model,prompt,raw_response,error
semantic_constraint_000,shortest,r_short,,0,0,local-model,"[{""role"": ""system"", ""content"": ""Return compact JSON only. Do not invent route ids.""}, {""role"": ""user"", ""content"": ""{\""task\"": \""Select exactly one route candidate for a mobile robot.\"", \""case_id\"": \""semantic_constraint_000\"", \""start\"": [7.455, -17.604], \""goal\"": [-1.093, -5.783], \""preference\"": \""Prefer the shortest route when safety is similar.\"", \""candidates\"": [{\""route_id\"": \""r_short\"", \""description\"": \""short direct route\"", \""length\"": 14.59, \""turns\"": 2, \""min_clearance\"": 0.55, \""semantic_risk\"": 0.187}, {\""route_id\"": \""r_safe\"", \""description\"": \""risk-avoiding detour\"", \""length\"": 19.26, \""turns\"": 5, \""min_clearance\"": 1.15, \""semantic_risk\"": 0.03}, {\""route_id\"": \""r_smooth\"", \""description\"": \""smooth route with fewer turns\"", \""length\"": 16.92, \""turns\"": 1, \""min_clearance\"": 0.82, \""semantic_risk\"": 0.14}, {\""route_id\"": \""r_clear\"", \""description\"": \""wide-clearance route\"", \""length\"": 18.09, \""turns\"": 4, \""min_clearance\"": 1.45, \""semantic_risk\"": 0.09}, {\""route_id\"": \""r_balanced\"", \""description\"": \""moderate route balancing length and risk\"", \""length\"": 16.05, \""turns\"": 3, \""min_clearance\"": 0.95, \""semantic_risk\"": 0.08}], \""output_schema\"": {\""route_id\"": \""one of the candidate route_id values\"", \""reason\"": \""short text\""}}""}]",,
semantic_constraint_000,lowest_risk,r_safe,,0,0,local-model,"[{""role"": ""system"", ""content"": ""Return compact JSON only. Do not invent route ids.""}, {""role"": ""user"", ""content"": ""{\""task\"": \""Select exactly one route candidate for a mobile robot.\"", \""case_id\"": \""semantic_constraint_000\"", \""start\"": [7.455, -17.604], \""goal\"": [-1.093, -5.783], \""preference\"": \""Prefer the route that stays farthest from the semantic-risk region, even if longer.\"", \""candidates\"": [{\""route_id\"": \""r_short\"", \""description\"": \""short direct route\"", \""length\"": 14.59, \""turns\"": 2, \""min_clearance\"": 0.55, \""semantic_risk\"": 0.187}, {\""route_id\"": \""r_safe\"", \""description\"": \""risk-avoiding detour\"", \""length\"": 19.26, \""turns\"": 5, \""min_clearance\"": 1.15, \""semantic_risk\"": 0.03}, {\""route_id\"": \""r_smooth\"", \""description\"": \""smooth route with fewer turns\"", \""length\"": 16.92, \""turns\"": 1, \""min_clearance\"": 0.82, \""semantic_risk\"": 0.14}, {\""route_id\"": \""r_clear\"", \""description\"": \""wide-clearance route\"", \""length\"": 18.09, \""turns\"": 4, \""min_clearance\"": 1.45, \""semantic_risk\"": 0.09}, {\""route_id\"": \""r_balanced\"", \""description\"": \""moderate route balancing length and risk\"", \""length\"": 16.05, \""turns\"": 3, \""min_clearance\"": 0.95, \""semantic_risk\"": 0.08}], \""output_schema\"": {\""route_id\"": \""one of the candidate route_id values\"", \""reason\"": \""short text\""}}""}]",,
semantic_constraint_000,fewest_turns,r_smooth,,0,0,local-model,"[{""role"": ""system"", ""content"": ""Return compact JSON only. Do not invent route ids.""}, {""role"": ""user"", ""content"": ""{\""task\"": \""Select exactly one route candidate for a mobile robot.\"", \""case_id\"": \""semantic_constraint_000\"", \""start\"": [7.455, -17.604], \""goal\"": [-1.093, -5.783], \""preference\"": \""Prefer the route with fewer sharp turns.\"", \""candidates\"": [{\""route_id\"": \""r_short\"", \""description\"": \""short direct route\"", \""length\"": 14.59, \""turns\"": 2, \""min_clearance\"": 0.55, \""semantic_risk\"": 0.187}, {\""route_id\"": \""r_safe\"", \""description\"": \""risk-avoiding detour\"", \""length\"": 19.26, \""turns\"": 5, \""min_clearance\"": 1.15, \""semantic_risk\"": 0.03}, {\""route_id\"": \""r_smooth\"", \""description\"": \""smooth route with fewer turns\"", \""length\"": 16.92, \""turns\"": 1, \""min_clearance\"": 0.82, \""semantic_risk\"": 0.14}, {\""route_id\"": \""r_clear\"", \""description\"": \""wide-clearance route\"", \""length\"": 18.09, \""turns\"": 4, \""min_clearance\"": 1.45, \""semantic_risk\"": 0.09}, {\""route_id\"": \""r_balanced\"", \""description\"": \""moderate route balancing length and risk\"", \""length\"": 16.05, \""turns\"": 3, \""min_clearance\"": 0.95, \""semantic_risk\"": 0.08}], \""output_schema\"": {\""route_id\"": \""one of the candidate route_id values\"", \""reason\"": \""short text\""}}""}]",,
semantic_constraint_000,high_clearance,r_clear,,0,0,local-model,"[{""role"": ""system"", ""content"": ""Return compact JSON only. Do not invent route ids.""}, {""role"": ""user"", ""content"": ""{\""task\"": \""Select exactly one route candidate for a mobile robot.\"", \""case_id\"": \""semantic_constraint_000\"", \""start\"": [7.455, -17.604], \""goal\"": [-1.093, -5.783], \""preference\"": \""Prefer the route with the highest clearance from obstacles and narrow passages.\"", \""candidates\"": [{\""route_id\"": \""r_short\"", \""description\"": \""short direct route\"", \""length\"": 14.59, \""turns\"": 2, \""min_clearance\"": 0.55, \""semantic_risk\"": 0.187}, {\""route_id\"": \""r_safe\"", \""description\"": \""risk-avoiding detour\"", \""length\"": 19.26, \""turns\"": 5, \""min_clearance\"": 1.15, \""semantic_risk\"": 0.03}, {\""route_id\"": \""r_smooth\"", \""description\"": \""smooth route with fewer turns\"", \""length\"": 16.92, \""turns\"": 1, \""min_clearance\"": 0.82, \""semantic_risk\"": 0.14}, {\""route_id\"": \""r_clear\"", \""description\"": \""wide-clearance route\"", \""length\"": 18.09, \""turns\"": 4, \""min_clearance\"": 1.45, \""semantic_risk\"": 0.09}, {\""route_id\"": \""r_balanced\"", \""description\"": \""moderate route balancing length and risk\"", \""length\"": 16.05, \""turns\"": 3, \""min_clearance\"": 0.95, \""semantic_risk\"": 0.08}], \""output_schema\"": {\""route_id\"": \""one of the candidate route_id values\"", \""reason\"": \""short text\""}}""}]",,
semantic_constraint_000,balanced,r_balanced,,0,0,local-model,"[{""role"": ""system"", ""content"": ""Return compact JSON only. Do not invent route ids.""}, {""role"": ""user"", ""content"": ""{\""task\"": \""Select exactly one route candidate for a mobile robot.\"", \""case_id\"": \""semantic_constraint_000\"", \""start\"": [7.455, -17.604], \""goal\"": [-1.093, -5.783], \""preference\"": \""Choose a balanced route that avoids high risk without being much longer.\"", \""candidates\"": [{\""route_id\"": \""r_short\"", \""description\"": \""short direct route\"", \""length\"": 14.59, \""turns\"": 2, \""min_clearance\"": 0.55, \""semantic_risk\"": 0.187}, {\""route_id\"": \""r_safe\"", \""description\"": \""risk-avoiding detour\"", \""length\"": 19.26, \""turns\"": 5, \""min_clearance\"": 1.15, \""semantic_risk\"": 0.03}, {\""route_id\"": \""r_smooth\"", \""description\"": \""smooth route with fewer turns\"", \""length\"": 16.92, \""turns\"": 1, \""min_clearance\"": 0.82, \""semantic_risk\"": 0.14}, {\""route_id\"": \""r_clear\"", \""description\"": \""wide-clearance route\"", \""length\"": 18.09, \""turns\"": 4, \""min_clearance\"": 1.45, \""semantic_risk\"": 0.09}, {\""route_id\"": \""r_balanced\"", \""description\"": \""moderate route balancing length and risk\"", \""length\"": 16.05, \""turns\"": 3, \""min_clearance\"": 0.95, \""semantic_risk\"": 0.08}], \""output_schema\"": {\""route_id\"": \""one of the candidate route_id values\"", \""reason\"": \""short text\""}}""}]",,
semantic_constraint_001,shortest,r_short,,0,0,local-model,"[{""role"": ""system"", ""content"": ""Return compact JSON only. Do not invent route ids.""}, {""role"": ""user"", ""content"": ""{\""task\"": \""Select exactly one route candidate for a mobile robot.\"", \""case_id\"": \""semantic_constraint_001\"", \""start\"": [3.612, 8.624], \""goal\"": [12.245, 15.621], \""preference\"": \""Prefer the shortest route when safety is similar.\"", \""candidates\"": [{\""route_id\"": \""r_short\"", \""description\"": \""short direct route\"", \""length\"": 11.11, \""turns\"": 2, \""min_clearance\"": 0.55, \""semantic_risk\"": 0.126}, {\""route_id\"": \""r_safe\"", \""description\"": \""risk-avoiding detour\"", \""length\"": 14.67, \""turns\"": 5, \""min_clearance\"": 1.15, \""semantic_risk\"": 0.03}, {\""route_id\"": \""r_smooth\"", \""description\"": \""smooth route with fewer turns\"", \""length\"": 12.89, \""turns\"": 1, \""min_clearance\"": 0.82, \""semantic_risk\"": 0.14}, {\""route_id\"": \""r_clear\"", \""description\"": \""wide-clearance route\"", \""length\"": 13.78, \""turns\"": 4, \""min_clearance\"": 1.45, \""semantic_risk\"": 0.09}, {\""route_id\"": \""r_balanced\"", \""description\"": \""moderate route balancing length and risk\"", \""length\"": 12.22, \""turns\"": 3, \""min_clearance\"": 0.95, \""semantic_risk\"": 0.08}], \""output_schema\"": {\""route_id\"": \""one of the candidate route_id values\"", \""reason\"": \""short text\""}}""}]",,
semantic_constraint_001,lowest_risk,r_safe,,0,0,local-model,"[{""role"": ""system"", ""content"": ""Return compact JSON only. Do not invent route ids.""}, {""role"": ""user"", ""content"": ""{\""task\"": \""Select exactly one route candidate for a mobile robot.\"", \""case_id\"": \""semantic_constraint_001\"", \""start\"": [3.612, 8.624], \""goal\"": [12.245, 15.621], \""preference\"": \""Prefer the route that stays farthest from the semantic-risk region, even if longer.\"", \""candidates\"": [{\""route_id\"": \""r_short\"", \""description\"": \""short direct route\"", \""length\"": 11.11, \""turns\"": 2, \""min_clearance\"": 0.55, \""semantic_risk\"": 0.126}, {\""route_id\"": \""r_safe\"", \""description\"": \""risk-avoiding detour\"", \""length\"": 14.67, \""turns\"": 5, \""min_clearance\"": 1.15, \""semantic_risk\"": 0.03}, {\""route_id\"": \""r_smooth\"", \""description\"": \""smooth route with fewer turns\"", \""length\"": 12.89, \""turns\"": 1, \""min_clearance\"": 0.82, \""semantic_risk\"": 0.14}, {\""route_id\"": \""r_clear\"", \""description\"": \""wide-clearance route\"", \""length\"": 13.78, \""turns\"": 4, \""min_clearance\"": 1.45, \""semantic_risk\"": 0.09}, {\""route_id\"": \""r_balanced\"", \""description\"": \""moderate route balancing length and risk\"", \""length\"": 12.22, \""turns\"": 3, \""min_clearance\"": 0.95, \""semantic_risk\"": 0.08}], \""output_schema\"": {\""route_id\"": \""one of the candidate route_id values\"", \""reason\"": \""short text\""}}""}]",,
semantic_constraint_001,fewest_turns,r_smooth,,0,0,local-model,"[{""role"": ""system"", ""content"": ""Return compact JSON only. Do not invent route ids.""}, {""role"": ""user"", ""content"": ""{\""task\"": \""Select exactly one route candidate for a mobile robot.\"", \""case_id\"": \""semantic_constraint_001\"", \""start\"": [3.612, 8.624], \""goal\"": [12.245, 15.621], \""preference\"": \""Prefer the route with fewer sharp turns.\"", \""candidates\"": [{\""route_id\"": \""r_short\"", \""description\"": \""short direct route\"", \""length\"": 11.11, \""turns\"": 2, \""min_clearance\"": 0.55, \""semantic_risk\"": 0.126}, {\""route_id\"": \""r_safe\"", \""description\"": \""risk-avoiding detour\"", \""length\"": 14.67, \""turns\"": 5, \""min_clearance\"": 1.15, \""semantic_risk\"": 0.03}, {\""route_id\"": \""r_smooth\"", \""description\"": \""smooth route with fewer turns\"", \""length\"": 12.89, \""turns\"": 1, \""min_clearance\"": 0.82, \""semantic_risk\"": 0.14}, {\""route_id\"": \""r_clear\"", \""description\"": \""wide-clearance route\"", \""length\"": 13.78, \""turns\"": 4, \""min_clearance\"": 1.45, \""semantic_risk\"": 0.09}, {\""route_id\"": \""r_balanced\"", \""description\"": \""moderate route balancing length and risk\"", \""length\"": 12.22, \""turns\"": 3, \""min_clearance\"": 0.95, \""semantic_risk\"": 0.08}], \""output_schema\"": {\""route_id\"": \""one of the candidate route_id values\"", \""reason\"": \""short text\""}}""}]",,
semantic_constraint_001,high_clearance,r_clear,,0,0,local-model,"[{""role"": ""system"", ""content"": ""Return compact JSON only. Do not invent route ids.""}, {""role"": ""user"", ""content"": ""{\""task\"": \""Select exactly one route candidate for a mobile robot.\"", \""case_id\"": \""semantic_constraint_001\"", \""start\"": [3.612, 8.624], \""goal\"": [12.245, 15.621], \""preference\"": \""Prefer the route with the highest clearance from obstacles and narrow passages.\"", \""candidates\"": [{\""route_id\"": \""r_short\"", \""description\"": \""short direct route\"", \""length\"": 11.11, \""turns\"": 2, \""min_clearance\"": 0.55, \""semantic_risk\"": 0.126}, {\""route_id\"": \""r_safe\"", \""description\"": \""risk-avoiding detour\"", \""length\"": 14.67, \""turns\"": 5, \""min_clearance\"": 1.15, \""semantic_risk\"": 0.03}, {\""route_id\"": \""r_smooth\"", \""description\"": \""smooth route with fewer turns\"", \""length\"": 12.89, \""turns\"": 1, \""min_clearance\"": 0.82, \""semantic_risk\"": 0.14}, {\""route_id\"": \""r_clear\"", \""description\"": \""wide-clearance route\"", \""length\"": 13.78, \""turns\"": 4, \""min_clearance\"": 1.45, \""semantic_risk\"": 0.09}, {\""route_id\"": \""r_balanced\"", \""description\"": \""moderate route balancing length and risk\"", \""length\"": 12.22, \""turns\"": 3, \""min_clearance\"": 0.95, \""semantic_risk\"": 0.08}], \""output_schema\"": {\""route_id\"": \""one of the candidate route_id values\"", \""reason\"": \""short text\""}}""}]",,
semantic_constraint_001,balanced,r_balanced,,0,0,local-model,"[{""role"": ""system"", ""content"": ""Return compact JSON only. Do not invent route ids.""}, {""role"": ""user"", ""content"": ""{\""task\"": \""Select exactly one route candidate for a mobile robot.\"", \""case_id\"": \""semantic_constraint_001\"", \""start\"": [3.612, 8.624], \""goal\"": [12.245, 15.621], \""preference\"": \""Choose a balanced route that avoids high risk without being much longer.\"", \""candidates\"": [{\""route_id\"": \""r_short\"", \""description\"": \""short direct route\"", \""length\"": 11.11, \""turns\"": 2, \""min_clearance\"": 0.55, \""semantic_risk\"": 0.126}, {\""route_id\"": \""r_safe\"", \""description\"": \""risk-avoiding detour\"", \""length\"": 14.67, \""turns\"": 5, \""min_clearance\"": 1.15, \""semantic_risk\"": 0.03}, {\""route_id\"": \""r_smooth\"", \""description\"": \""smooth route with fewer turns\"", \""length\"": 12.89, \""turns\"": 1, \""min_clearance\"": 0.82, \""semantic_risk\"": 0.14}, {\""route_id\"": \""r_clear\"", \""description\"": \""wide-clearance route\"", \""length\"": 13.78, \""turns\"": 4, \""min_clearance\"": 1.45, \""semantic_risk\"": 0.09}, {\""route_id\"": \""r_balanced\"", \""description\"": \""moderate route balancing length and risk\"", \""length\"": 12.22, \""turns\"": 3, \""min_clearance\"": 0.95, \""semantic_risk\"": 0.08}], \""output_schema\"": {\""route_id\"": \""one of the candidate route_id values\"", \""reason\"": \""short text\""}}""}]",,
